,financial/annualized_return,best_eval/trades_per_episode,financial/sortino_ratio,financial/outperformance,best_eval/mean_reward,financial/sharpe_ratio,eval/std_reward,financial/initial_capital,financial/strategy_return,eval/mean_portfolio,best_eval/std_reward,eval/mean_reward,financial/benchmark_return,eval/trades_per_episode,financial/max_drawdown,_timestamp,financial/final_networth,global_step,eval/trade_analysis,_step,_runtime,eval/std_portfolio,financial/calmar_ratio,best_eval/std_portfolio,best_eval/mean_portfolio
0,,,,,,,3609.0252584751497,,,12462.004635279953,,-6652.982109393177,,10445.4,,1765657003.6444085,,20830.0,,0,291.81377353,2741.8564353732954,,,
1,,10445.4,,,-6652.982109393177,,,,,,3609.0252584751497,,,,,1765657003.8582902,,20830.0,,1,292.068577909,,,2741.8564353732954,12462.004635279953
2,,,,,,,,,,,,,,,,1765657044.7812352,,,"{'format': 'png', 'path': 'media/images/eval/trade_analysis_2_f28fba7fdfa176998b4f.png', 'sha256': 'f28fba7fdfa176998b4f0c9f72a8b0729d8a6e660e911ec0c1f078771d41c612', 'size': 320459, 'height': 900, 'width': 2700, '_type': 'image-file'}",2,332.993956821,,,,
3,-0.5822703010422642,,-1.876947821357067,-0.8990561192185129,,-1.7477742280529582,,10000.0,-0.29261402536933073,,,,0.6064420938491821,,-0.42445858366799843,1765657053.8351927,7073.859746306693,34750.0,,3,342.042153358,,-1.3717953257312434,,
4,,,,,,,1776.7643252936357,,,17095.997269426403,,-4606.323579689115,,2056.6,,1765657361.8228695,,41660.0,,4,649.992091155,6115.98294445719,,,
5,,2056.6,,,-4606.323579689115,,,,,,1776.7643252936357,,,,,1765657362.0460827,,41660.0,,5,650.215249423,,,6115.98294445719,17095.997269426403
6,,,,,,,,,,,,,,,,1765657389.6861663,,,"{'format': 'png', 'path': 'media/images/eval/trade_analysis_6_7af27374a46a51d2146c.png', 'sha256': '7af27374a46a51d2146c6a96b780ac57749309b7d8921b56599110b85dbb216f', 'size': 199896, 'height': 900, 'width': 2700, '_type': 'image-file'}",6,677.897426627,,,,
7,,,,,,,1654.3599862605136,,,14472.415893682904,,-1943.5892939940095,,6.6,,1765657590.0583978,,62490.0,,7,878.281446528,10128.68317968028,,,
8,,6.6,,,-1943.5892939940095,,,,,,1654.3599862605136,,,,,1765657590.2833836,,62490.0,,8,878.495361566,,,10128.68317968028,14472.415893682904
9,,,,,,,,,,,,,,,,1765657592.6966722,,,"{'sha256': '6fc29158790a644f0dbb5b798b5b93dd15ba1d8a01839e24e696e9606e4e2b30', 'size': 194725, 'height': 900, 'width': 2700, '_type': 'image-file', 'format': 'png', 'path': 'media/images/eval/trade_analysis_9_6fc29158790a644f0dbb.png'}",9,880.911348518,,,,
