key,value
_runtime,7301.353878498077
_step,72
_timestamp,1764725699.5274165
_wandb,{'runtime': 7413}
best_eval/mean_portfolio,494.8739980981446
best_eval/mean_reward,55483.35441364562
best_eval/std_portfolio,0
best_eval/std_reward,0
feature_importance,"{'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/feature_importance_3120032_b91f348196e097cdc513.png', 'sha256': 'b91f348196e097cdc5132abd9910c2d7c0d94f50ea8523db095f6c28e7bfff44', 'size': 48218, 'width': 1200}"
gradients/actor.latent_pi.0.bias,{'_type': 'histogram'}
gradients/actor.latent_pi.0.weight,{'_type': 'histogram'}
gradients/actor.latent_pi.2.bias,{'_type': 'histogram'}
gradients/actor.latent_pi.2.weight,{'_type': 'histogram'}
gradients/actor.latent_pi.4.bias,{'_type': 'histogram'}
gradients/actor.latent_pi.4.weight,{'_type': 'histogram'}
gradients/actor.log_std.bias,{'_type': 'histogram'}
gradients/actor.log_std.weight,{'_type': 'histogram'}
gradients/actor.mu.bias,{'_type': 'histogram'}
gradients/actor.mu.weight,{'_type': 'histogram'}
gradients/critic.qf0.0.bias,{'_type': 'histogram'}
gradients/critic.qf0.0.weight,{'_type': 'histogram'}
gradients/critic.qf0.2.bias,{'_type': 'histogram'}
gradients/critic.qf0.2.weight,{'_type': 'histogram'}
gradients/critic.qf0.4.bias,{'_type': 'histogram'}
gradients/critic.qf0.4.weight,{'_type': 'histogram'}
gradients/critic.qf0.6.bias,{'_type': 'histogram'}
gradients/critic.qf0.6.weight,{'_type': 'histogram'}
gradients/critic.qf1.0.bias,{'_type': 'histogram'}
gradients/critic.qf1.0.weight,{'_type': 'histogram'}
gradients/critic.qf1.2.bias,{'_type': 'histogram'}
gradients/critic.qf1.2.weight,{'_type': 'histogram'}
gradients/critic.qf1.4.bias,{'_type': 'histogram'}
gradients/critic.qf1.4.weight,{'_type': 'histogram'}
gradients/critic.qf1.6.bias,{'_type': 'histogram'}
gradients/critic.qf1.6.weight,{'_type': 'histogram'}
metrics/trades_per_episode,3088
metrics/turnover_rate,0.25241131273500084
trade_analysis/thread_0_chart,"{'_type': 'image-file', 'format': 'png', 'height': 800, 'path': 'media/images/trade_analysis/thread_0_chart_3120033_9d1c9464cea55141f4de.png', 'sha256': '9d1c9464cea55141f4de898759605079742cc27ba559f1c4cb6a14bc7f5a3864', 'size': 98029, 'width': 1200}"
